# recovery_spliner perf log started 20260817_111407
# [PERF] fields: loops=timer ticks in the window, hz=achieved loop rate, loop_ms avg/max=wall time inside loop(), splines=do_spline calls, blended=loops that also splined the OT-blended path, samples=mean spline samples bounds-checked, danger=splines aborted on the bounds check, mrk_hz=achieved RViz marker rate (see marker_rate_hz; the wpnt topics stay at the full loop rate), cpu=this process's own CPU over the window (100% = one core), viz=spline-sample marker publishing
1786932850.475 [PERF] loops=1 hz=0.3 loop_ms avg=52.12 max=52.12 splines=1 blended=0 samples=102.0 danger=0 mrk_hz=0.3 cpu=27.0% viz=off
1786932851.491 [PERF] loops=33 hz=32.5 loop_ms avg=23.16 max=78.79 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=3.9 cpu=34.5% viz=off
1786932852.509 [PERF] loops=30 hz=29.5 loop_ms avg=20.39 max=104.78 splines=30 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=41.2% viz=off
1786932853.521 [PERF] loops=34 hz=33.6 loop_ms avg=18.85 max=76.46 splines=34 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=45.4% viz=off
1786932854.608 [PERF] loops=36 hz=33.1 loop_ms avg=20.64 max=84.95 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=4.6 cpu=42.3% viz=off
1786932855.638 [PERF] loops=28 hz=27.2 loop_ms avg=25.60 max=296.37 splines=28 blended=0 samples=102.0 danger=0 mrk_hz=3.9 cpu=41.7% viz=off
1786932856.653 [PERF] loops=34 hz=33.5 loop_ms avg=18.59 max=85.23 splines=34 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=40.4% viz=off
1786932857.668 [PERF] loops=27 hz=26.6 loop_ms avg=26.22 max=145.30 splines=27 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=33.5% viz=off
1786932858.700 [PERF] loops=33 hz=32.0 loop_ms avg=18.96 max=102.44 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=4.8 cpu=42.7% viz=off
1786932859.710 [PERF] loops=38 hz=37.6 loop_ms avg=15.59 max=55.84 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=46.5% viz=off
1786932860.721 [PERF] loops=33 hz=32.7 loop_ms avg=18.65 max=53.59 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=39.7% viz=off
