# static_avoidance_node debug log started 20260816_161901
1786864746.284 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864746.787 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864747.345 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864747.883 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864748.440 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864748.997 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864749.535 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864750.040 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864750.590 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864751.091 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786864751.634 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
