# static_avoidance_node debug log started 20260822_054404
1787345049.797 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.12 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787345050.309 [STATIC_AVOID] obs_id=1 obs_dist=6.37m obs_s=38.49 ego_s=32.12 side=- | left_clearance=0.49 right_clearance=0.10 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=11.3 | reason=map_occupied | cache_reason=no_cache
1787345050.908 [STATIC_AVOID] obs_id=1 obs_dist=6.36m obs_s=38.48 ego_s=32.12 side=- | left_clearance=0.50 right_clearance=0.11 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=9.4 | reason=map_occupied | cache_reason=no_cache
1787345051.518 [STATIC_AVOID] obs_id=1 obs_dist=6.38m obs_s=38.49 ego_s=32.11 side=- | left_clearance=0.49 right_clearance=0.10 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=11.6 | reason=map_occupied | cache_reason=no_cache
1787345052.107 [STATIC_AVOID] obs_id=1 obs_dist=6.27m obs_s=38.50 ego_s=32.23 side=- | left_clearance=0.47 right_clearance=0.10 candidate_valid=false rung=- pre_dist=2.01m | cache_used=false path_age=- path_points=0 planning_time_ms=6.4 | reason=map_occupied | cache_reason=no_cache
1787345052.704 [STATIC_AVOID] obs_id=1 obs_dist=6.29m obs_s=38.52 ego_s=32.24 side=- | left_clearance=0.45 right_clearance=0.12 candidate_valid=false rung=- pre_dist=2.03m | cache_used=false path_age=- path_points=0 planning_time_ms=4.1 | reason=map_occupied | cache_reason=no_cache
1787345053.210 [STATIC_AVOID] obs_id=1 obs_dist=6.36m obs_s=38.54 ego_s=32.18 side=- | left_clearance=0.43 right_clearance=0.13 candidate_valid=false rung=- pre_dist=2.04m | cache_used=false path_age=- path_points=0 planning_time_ms=10.8 | reason=map_occupied | cache_reason=no_cache
1787345053.801 [STATIC_AVOID] obs_id=1 obs_dist=6.31m obs_s=38.54 ego_s=32.24 side=- | left_clearance=0.42 right_clearance=0.14 candidate_valid=false rung=- pre_dist=2.05m | cache_used=false path_age=- path_points=0 planning_time_ms=3.8 | reason=track_too_narrow | cache_reason=no_cache
1787345054.306 [STATIC_AVOID] obs_id=1 obs_dist=6.33m obs_s=38.56 ego_s=32.23 side=- | left_clearance=0.42 right_clearance=0.15 candidate_valid=false rung=- pre_dist=2.07m | cache_used=false path_age=- path_points=0 planning_time_ms=9.1 | reason=track_too_narrow | cache_reason=no_cache
1787345054.808 [STATIC_AVOID] obs_id=1 obs_dist=6.35m obs_s=38.57 ego_s=32.22 side=- | left_clearance=0.41 right_clearance=0.15 candidate_valid=false rung=- pre_dist=2.08m | cache_used=false path_age=- path_points=0 planning_time_ms=9.3 | reason=track_too_narrow | cache_reason=no_cache
1787345055.407 [STATIC_AVOID] obs_id=1 obs_dist=6.35m obs_s=38.58 ego_s=32.23 side=- | left_clearance=0.40 right_clearance=0.16 candidate_valid=false rung=- pre_dist=2.08m | cache_used=false path_age=- path_points=0 planning_time_ms=3.7 | reason=map_occupied | cache_reason=no_cache
1787345055.908 [STATIC_AVOID] obs_id=1 obs_dist=6.36m obs_s=38.58 ego_s=32.22 side=- | left_clearance=0.40 right_clearance=0.16 candidate_valid=false rung=- pre_dist=2.09m | cache_used=false path_age=- path_points=0 planning_time_ms=10.6 | reason=map_occupied | cache_reason=no_cache
