top - 18:26:58 up  1:02,  5 users,  load average: 1.08, 0.98, 2.56
Tasks: 379 total,   1 running, 378 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.8 us,  1.8 sy,  0.0 ni, 95.5 id,  0.0 wa,  0.9 hi,  0.0 si,  0.0 st
MiB Mem :   7607.4 total,   2724.2 free,   3157.5 used,   1725.7 buff/cache
MiB Swap:   3803.7 total,   3752.7 free,     51.0 used.   4193.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  21187 fcsl      20   0   12132   3388   2568 R  12.5   0.0   0:00.03 top -b -c -w 512 -d 2
    360 root      20   0   23820   4572   2124 S   6.2   0.1   0:12.87 /lib/systemd/systemd-udevd
   4735 fcsl      20   0 1133656 228056  14556 S   6.2   2.9   1:12.31 /home/fcsl/.vscode-server/cli/servers/Stable-994fd12f8d3a5aa16f17d42c041e5809167e845a/server/node /home/fcsl/.vscode-server/cli/servers/Stable-994fd12f8d3a5aa16f17d42c041e5809167e845a/server/out/bootstrap-fork --type=fileWatcher
  21169 fcsl      20   0  823784  20836  14808 S   6.2   0.3   0:00.26 /home/fcsl/miniforge3/envs/thirdimpact/lib/joy/joy_node
      1 root      20   0  169008  11696   6892 S   0.0   0.2   0:04.52 /sbin/init 2
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 [kthreadd]
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [rcu_gp]
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [rcu_par_gp]
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [slub_flushwq]
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [netns]
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworker/0:0H-events_highpri]
      9 root      20   0       0      0      0 I   0.0   0.0   0:01.24 [kworker/u12:0-events_freezable_power_]
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [mm_percpu_wq]
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [rcu_tasks_kthre]
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [rcu_tasks_rude_]
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [rcu_tasks_trace]
     14 root      20   0       0      0      0 S   0.0   0.0   0:02.41 [ksoftirqd/0]
     15 root      20   0       0      0      0 I   0.0   0.0   0:01.12 [rcu_preempt]
     16 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/0]
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/0]
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/1]
     19 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/1]
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.24 [ksoftirqd/1]
     21 root      20   0       0      0      0 I   0.0   0.0   0:00.11 [kworker/1:0-mm_percpu_wq]
     22 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworker/1:0H-kblockd]
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/2]
     24 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/2]
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.20 [ksoftirqd/2]
     27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworker/2:0H-events_highpri]
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/3]
